[0.560716993820546,	748.35602949804304292],
[0.594113398496504,	744.95828621677458209],
[0.629498899022189,	740.18382633351635704],
[0.666991966303013,	734.98241007740045523],
[0.706718127392749,	728.79376944693557327],
[0.748810385759003,	722.0488577580677851],
[0.793409666579749,	714.61707886108212147],
[0.840665288561833,	706.54660650392595442],
[0.890735463861044,	697.91062707703346596],
[0.943787827777539,	688.65871166230647293],
[1,	678.87757075819562577]]
